host_name,planet_letter,planet_name,controversial_flag,orbital_period,orbital_radius,eccentricity,planet_mass,planet_radius,optical_magnitude,near_ir_magnitude,spectral_type,stellar_temperature,stellar_surface_gravity,stellar_luminosity,stellar_mass,stellar_radius,stellar_metallicity,stellar_age
Kepler-49,e,Kepler-49 e,0,18.596108,0.116,,3.05,1.56,15.229000000000001,12.383,M1 V,4252.0,4.73,-1.003,0.63,0.56,0.03,2.88
Kepler-50,b,Kepler-50 b,0,7.81254,0.077,,3.57,1.71,10.362,9.197000000000001,,6225.0,4.13,0.524,1.24,1.58,0.03,3.8
Kepler-50,c,Kepler-50 c,0,9.37647,0.087,,5.35,2.17,10.362,9.197000000000001,,6225.0,4.13,0.524,1.24,1.58,0.03,3.8
Kepler-51,b,Kepler-51 b,0,45.154,0.2514,0.04,2.1,7.1,14.677999999999999,13.197000000000001,,6018.0,4.51,-0.18,1.04,0.94,0.01,0.3
Kepler-51,c,Kepler-51 c,0,85.312,0.384,0.014,4.0,9.0,14.677999999999999,13.197000000000001,,6018.0,4.51,-0.18,1.04,0.94,0.01,0.3
Kepler-51,d,Kepler-51 d,0,130.194,0.509,0.008,7.6,9.7,14.677999999999999,13.197000000000001,,6018.0,4.51,-0.18,1.04,0.94,0.01,0.3
Kepler-52,b,Kepler-52 b,0,7.8773565,0.0637,,2765.0,2.1,15.059000000000001,12.36,M0 V,4263.0,4.73,-0.955,0.66,0.56,0.0,3.55
Kepler-52,c,Kepler-52 c,0,16.3850021,0.10379000000000001,,3308.41,1.84,15.059000000000001,12.36,M0 V,4263.0,4.73,-0.955,0.66,0.56,0.0,3.55
Kepler-52,d,Kepler-52 d,0,36.445171,0.182,,4.46,1.95,15.059000000000001,12.36,M0 V,4263.0,4.73,-0.955,0.66,0.56,0.0,3.55
Kepler-53,b,Kepler-53 b,0,18.6489525,,,5851.0,2.89,15.388,13.807,,5858.0,4.53,0.034,0.98,0.89,-0.03,3.89
Kepler-53,c,Kepler-53 c,0,38.5583038,,,5002.43,3.17,15.388,13.807,,5858.0,4.53,0.034,0.98,0.89,-0.03,3.89
Kepler-53,d,Kepler-53 d,0,9.751962,0.091,,5.14,2.12,15.388,13.807,,5858.0,4.53,0.034,0.98,0.89,-0.03,3.89
Kepler-54,b,Kepler-54 b,0,8.0109434,0.0619,,292.39,2.1,15.812999999999999,12.648,M1 V,4252.0,4.73,-1.272,0.48,0.55,-0.27,4.17
Kepler-54,c,Kepler-54 c,0,12.0717249,,,117.59,1.23,15.812999999999999,12.648,M1 V,4252.0,4.73,-1.272,0.48,0.55,-0.27,4.17
Kepler-54,d,Kepler-54 d,0,20.995694,0.126,,2.96,1.53,15.812999999999999,12.648,M1 V,4252.0,4.73,-1.272,0.48,0.55,-0.27,4.17
Kepler-55,b,Kepler-55 b,0,27.9481449,,,473.55,2.43,15.780999999999999,13.289000000000001,,4503.0,4.68,-0.784,0.72,0.62,-0.01,2.34
Kepler-55,c,Kepler-55 c,0,42.1516418,,,352.78,2.21,15.780999999999999,13.289000000000001,,4503.0,4.68,-0.784,0.72,0.62,-0.01,2.34
Kepler-55,d,Kepler-55 d,0,2.211099,0.029,,3.15,1.59,15.780999999999999,13.289000000000001,,4503.0,4.68,-0.784,0.72,0.62,-0.01,2.34
Kepler-55,e,Kepler-55 e,0,4.617534,0.048,,3.02,1.55,15.780999999999999,13.289000000000001,,4503.0,4.68,-0.784,0.72,0.62,-0.01,2.34
Kepler-55,f,Kepler-55 f,0,10.198545,0.081,,3.15,1.59,15.780999999999999,13.289000000000001,,4503.0,4.68,-0.784,0.72,0.62,-0.01,2.34
Kepler-56,b,Kepler-56 b,0,10.5016,0.1028,0.04,22.1,6.51,12.43,10.227,,4840.0,3.31,0.905,1.32,4.23,0.2,3.5
Kepler-56,c,Kepler-56 c,0,21.40239,0.1652,0.0,181.0,9.8,12.43,10.227,,4840.0,3.31,0.905,1.32,4.23,0.2,3.5
Kepler-57,b,Kepler-57 b,0,5.7293196,,,5994.02,2.19,14.774000000000001,12.897,,5145.0,4.63,-0.361,0.83,0.73,-0.07,4.68
Kepler-57,c,Kepler-57 c,0,11.6092567,,,2208.83,1.55,14.774000000000001,12.897,,5145.0,4.63,-0.361,0.83,0.73,-0.07,4.68
Kepler-58,b,Kepler-58 b,0,10.2184954,,,441.77,2.78,14.866,13.283,,6099.0,4.37,-0.061,1.33,1.13,0.09,2.14
Kepler-58,c,Kepler-58 c,0,15.5741568,,,696.02,2.86,14.866,13.283,,6099.0,4.37,-0.061,1.33,1.13,0.09,2.14
Kepler-58,d,Kepler-58 d,0,40.101371,0.236,,8.96,2.94,14.866,13.283,,6099.0,4.37,-0.061,1.33,1.13,0.09,2.14
Kepler-59,b,Kepler-59 b,0,11.8681707,,,651.52,1.1,14.279000000000002,12.927999999999999,,6074.0,4.51,0.319,1.04,0.94,0.02,3.31
Kepler-59,c,Kepler-59 c,0,17.9801235,,,435.41,1.98,14.279000000000002,12.927999999999999,,6074.0,4.51,0.319,1.04,0.94,0.02,3.31
Kepler-60,b,Kepler-60 b,0,7.1334,0.07497000000000001,0.0108,4.19,1.71,13.913,12.515999999999998,,5905.0,4.26,0.354,1.04,1.26,-0.09,5.13
Kepler-60,c,Kepler-60 c,0,8.9187,0.08701,0.0291,3.85,1.9,13.913,12.515999999999998,,5905.0,4.26,0.354,1.04,1.26,-0.09,5.13
Kepler-60,d,Kepler-60 d,0,11.8981,0.10547999999999999,0.0151,4.16,1.99,13.913,12.515999999999998,,5905.0,4.26,0.354,1.04,1.26,-0.09,5.13
Kepler-61,b,Kepler-61 b,0,59.87756,0.24861,0.25,5.27,2.15,15.043,12.272,K7 V,4017.0,4.67,-0.9229999999999999,0.64,0.62,0.03,1.0
Kepler-62,b,Kepler-62 b,0,5.714932,0.0553,,9.0,1.31,13.72,11.659,K2 V,4925.0,4.68,-0.6779999999999999,0.69,0.64,-0.37,7.0
Kepler-62,c,Kepler-62 c,0,12.4417,0.0929,,4.0,0.54,13.72,11.659,K2 V,4925.0,4.68,-0.6779999999999999,0.69,0.64,-0.37,7.0
Kepler-62,d,Kepler-62 d,0,18.16406,0.12,,14.0,1.95,13.72,11.659,K2 V,4925.0,4.68,-0.6779999999999999,0.69,0.64,-0.37,7.0
Kepler-62,e,Kepler-62 e,0,122.3874,0.427,,36.0,1.61,13.72,11.659,K2 V,4925.0,4.68,-0.6779999999999999,0.69,0.64,-0.37,7.0
Kepler-62,f,Kepler-62 f,0,267.291,0.718,,35.0,1.41,13.72,11.659,K2 V,4925.0,4.68,-0.6779999999999999,0.69,0.64,-0.37,7.0
Kepler-63,b,Kepler-63 b,0,9.4341505,0.08,0.45,120.0,6.11,12.02,9.997,,5576.0,4.52,-0.157,0.98,0.9,0.05,0.21
PH1,b,PH1 b,0,138.317,0.652,0.0702,169.0,6.18,13.699000000000002,12.395,F,6407.0,4.14,0.66,1.53,1.73,0.21,2.0
Kepler-65,b,Kepler-65 b,0,2.15491,0.035,0.028,2.4,1.42,10.966,9.806000000000001,,6211.0,4.23,0.451,1.25,1.41,0.17,2.9
Kepler-65,c,Kepler-65 c,0,5.859944,0.068,0.02,5.4,2.58,10.966,9.806000000000001,,6211.0,4.23,0.451,1.25,1.41,0.17,2.9
Kepler-65,d,Kepler-65 d,0,8.13123,0.084,0.014,4.14,1.52,10.966,9.806000000000001,,6211.0,4.23,0.451,1.25,1.41,0.17,2.9
Kepler-66,b,Kepler-66 b,0,17.815815,0.1352,,8.25,2.8,15.3,13.620999999999999,G0 V,5962.0,4.48,0.01,1.04,0.97,-0.2,1.0
Kepler-67,b,Kepler-67 b,0,15.7259,0.1171,,8.96,2.94,16.4,14.155,G9 V,5331.0,4.59,-0.428,0.86,0.78,-0.2,1.0
Kepler-68,b,Kepler-68 b,0,5.3988,0.0617,0.0,7.65,2.354,9.99,8.588,,5793.0,4.28,0.218,1.08,1.24,0.12,6.3
Kepler-68,c,Kepler-68 c,0,9.6051,0.09059,0.0,2.04,1.0,9.99,8.588,,5793.0,4.28,0.218,1.08,1.24,0.12,6.3
Kepler-68,d,Kepler-68 d,0,634.6,1.4,0.112,267.0,13.9,9.99,8.588,,5793.0,4.28,0.218,1.08,1.24,0.12,6.3
Kepler-69,b,Kepler-69 b,0,13.722341,0.094,0.16,5.65,2.24,14.0,12.234000000000002,G4 V,5638.0,4.4,-0.09699999999999999,0.81,0.93,-0.29,9.8
Kepler-69,c,Kepler-69 c,0,242.4613,0.64,0.14,3.57,1.71,14.0,12.234000000000002,G4 V,5638.0,4.4,-0.09699999999999999,0.81,0.93,-0.29,9.8
KOI-55,b,KOI-55 b,0,0.240104,0.006,,0.44,0.759,14.87,15.495,B,27730.0,5.52,1.36,0.5,0.2,-0.106,
KOI-55,c,KOI-55 c,0,0.342887,0.0076,,0.655,0.867,14.87,15.495,B,27730.0,5.52,1.36,0.5,0.2,-0.106,
KOI-217,b,KOI-217 b,0,3.90512,0.0477,0.0,,12.442,15.100999999999999,13.469000000000001,,5545.0,4.53,-0.209,0.95,0.86,0.12,1.7
FU Tau,b,FU Tau b,0,,800.0,,5085.28,12.2,20.48,13.329,M7.25,2838.0,,-0.6990000000000001,0.05,,,0.001
GQ Lup,b,GQ Lup b,0,,100.0,,6356.0,33.6,12.43,7.096,K7e V,4092.57,,-0.07200000000000001,0.7,1.83,,0.001
GU Psc,b,GU Psc b,0,,2000.0,,3591.3,14.179,13.55,9.345,M3,4031.81,,,0.33,,0.1,0.1
HN Peg,b,HN Peg b,0,,773.0,,6991.57,11.777000000000001,5.95,4.559,G0 IV-V,5974.0,4.48,0.07200000000000001,1.1,1.04,-0.02,3.1
NN Ser,c,NN Ser c,0,5573.55,5.35,0.08,2329.6,12.6,16.59,16.168,WD,57000.0,,,0.54,,,
NN Ser,d,NN Ser d,0,2883.5,3.43,0.19,731.0,13.3,16.59,16.168,WD,57000.0,,,0.54,,,
NY Vir,b,NY Vir b,0,2985.7,3.3,0.44,730.978,13.3,13.394,14.635,,8868.67,,,,,,
RR Cae,b,RR Cae b,0,4343.5,5.3,0.0,1334.886,13.0,13.658,9.852,M,4134.3,,,0.44,,,
UZ For,b,UZ For b,0,5840.0,5.9,0.04,2002.2,,16.694000000000003,14.776,,5286.9,,,0.7,,,
UZ For,c,UZ For c,0,1916.25,2.8,0.05,2447.2,,16.694000000000003,14.776,,5286.9,,,0.7,,,
alf Ari,b,alf Ari b,0,380.8,1.2,0.25,572.07,13.4,2.0,-0.7829999999999999,K1 IIIb,4553.0,2.49,1.9340000000000002,1.5,13.9,-0.16,
bet Cnc,b,bet Cnc b,0,605.2,1.7,0.08,2479.0,12.6,3.53,0.19,K4 III,4092.1,1.4,2.9,1.7,47.2,-0.29,1.85
bet Pic,b,bet Pic b,0,7665.0,9.1,0.08,3496.13,18.495,3.85,3.5260000000000002,A5 V,7099.5,4.15,0.958,1.76,2.01,,0.012
bet UMi,b,bet UMi b,0,522.3,1.4,0.19,1938.7,12.7,2.08,-1.287,K4 III,4126.0,1.5,2.73,1.4,38.3,-0.27,2.95
eps Eri,b,eps Eri b,0,2502.0,3.39,0.702,492.6365,13.5,3.82,1.776,K2 V,5136.0,4.71,-0.419,0.83,0.77,-0.13,0.8
eps CrB,b,eps CrB b,0,417.9,1.3,0.11,2129.461,12.7,4.15,1.349,K2 III,4406.0,1.94,2.235,1.7,21.0,-0.094,1.74
eps Tau,b,eps Tau b,0,594.9,1.93,0.151,2415.406,12.6,3.54,1.422,K0 III,4901.0,2.62,1.9869999999999999,2.7,13.7,0.15,
gam 1 Leo,b,gam 1 Leo b,0,428.5,1.19,0.144,2790.43,12.5,1.98,-0.8059999999999999,K1 IIIb Fe-0.5,4330.0,1.66,2.51,1.23,31.88,-0.47,2.412
gam Cep,b,gam Cep b,0,903.3,2.05,0.049,587.96,13.4,3.21,1.038,K1 IV,4744.0,3.1,1.073,1.4,4.9,0.13,5.4
kap CrB,b,kap CrB b,0,1285.0,2.65,0.167,689.6911,13.3,4.79,2.423,K0 III-IV,4871.0,3.26,1.105,1.5,4.85,0.11,3.42
kap And,b,kap And b,0,,55.0,,4327.36,12.3,4.14,4.571000000000001,B9 IV,10900.0,3.78,1.83,2.6,,-0.36,0.03
mu Leo,b,mu Leo b,0,357.8,1.1,0.09,762.8,13.3,3.88,1.364,K2 III,4538.2,2.4,1.797,1.5,11.4,0.36,3.35
nu Oph,b,nu Oph b,0,530.21,1.79,0.124,7057.73298,12.0,3.34,1.225,K0 III,4886.0,2.56,2.039,2.7,14.6,0.06,0.65
nu Oph,c,nu Oph c,0,3184.83,5.931,0.18,7838.32346,12.0,3.34,1.225,K0 III,4886.0,2.56,2.039,2.7,14.6,0.06,0.65
ome Ser,b,ome Ser b,0,277.02,1.1,0.106,540.3,13.5,5.23,2.929,G8 III,4770.0,2.32,1.85,2.17,12.3,-0.24,
omi CrB,b,omi CrB b,0,187.83,0.83,0.191,476.745,13.6,5.51,2.9339999999999997,K0,4749.0,2.65,1.709,2.13,10.5,-0.23,7.827000000000001
omi UMa,b,omi UMa b,0,1630.0,3.9,0.13,1303.103,13.0,3.36,1.339,G5 III,5242.0,,2.14,3.09,14.1,,
tau Boo,b,tau Boo b,0,3.3124568,0.049,0.011,1891.0,12.8,4.5,3.5069999999999997,F7 V,6400.0,4.5,0.535,1.34,1.46,0.5,1.64
tau Gem,b,tau Gem b,0,305.5,1.17,0.031,6547.0,12.1,4.42,1.681,K2 III,4388.0,1.96,2.519,2.3,26.8,0.14,1.22
ups And,b,ups And b,0,4.617033,0.059222000000000004,0.0215,218.531,14.0,4.1,2.859,F8 V,6183.0,4.16,0.561,1.3,1.56,0.04,5.0
ups And,c,ups And c,0,241.258,0.827774,0.2596,629.595,13.4,4.1,2.859,F8 V,6183.0,4.16,0.561,1.3,1.56,0.04,5.0
ups And,d,ups And d,0,1276.46,2.51329,0.2987,1313.22,13.0,4.1,2.859,F8 V,6183.0,4.16,0.561,1.3,1.56,0.04,5.0
xi Aql,b,xi Aql b,0,136.75,0.68,0.0,890.0,13.2,4.707,2.171,G9 III,4780.0,2.66,1.839,2.2,12.0,-0.205,7.1
Fomalhaut,b,Fomalhaut b,0,555530.0,160.0,0.87,826.3,13.5,1.16,0.945,A3 V,8399.0,4.14,1.217,1.92,1.92,,0.2
Kapteyn,c,Kapteyn c,0,121.54,0.311,0.23,7.0,2.54,8.845,5.0489999999999995,M0 V,3550.0,,-2.0,0.28,0.29,-0.89,
1RXS J160929.1-210524,b,1RXS J160929.1-210524 b,0,,330.0,,3000.0,18.647000000000002,12.057,8.916,K7 V,4060.0,,-0.37,0.85,1.18,,0.005
2MASS J01225093-2439505,b,2MASS J01225093-2439505 b,0,,52.0,,7786.5,11.209000000000001,14.24,9.198,M3.5 V,3530.0,,-1.72,0.4,,,0.12
2MASS J02192210-3925225,b,2MASS J02192210-3925225 b,0,,156.0,,4417.837,16.141,15.012,10.404000000000002,M6,3064.0,4.59,-2.23,0.11,0.28,,0.035
2MASS J04414489+2301513,b,2MASS J04414489+2301513 b,0,,15.0,,2383.6,12.6,18.967,13.161,M8.5,,,,0.02,,,0.001
2MASS J12073346-3932539,b,2MASS J12073346-3932539 b,0,,46.0,,1271.0,13.0,20.15,11.945,M8,,,,0.02,,,0.008
2MASS J21402931+1625183 A,b,2MASS J21402931+1625183 A b,0,7336.5,,0.26,6657.48,10.31,17.396,11.825999999999999,M8.5,2300.0,,-3.48,0.08,0.12,,
BD-17 63,b,BD-17 63 b,0,655.6,1.34,0.54,1620.9,12.8,9.566,6.914,K5 V,4714.0,4.26,-0.6779999999999999,0.74,0.69,-0.03,4.3
BD-13 2130,b,BD-13 2130 b,0,714.29999,1.66,0.21,3108.3774,12.5,9.45,7.151,G5 IV/V,4545.0,2.2,2.043,2.12,19.17,-0.08,0.74
BD-11 4672,b,BD-11 4672 b,0,1667.0,2.28,0.05,168.44,14.2,9.99,6.867000000000001,K7 V,4475.0,4.1,-0.8809999999999999,0.57,0.52,-0.48,4.4
BD-10 3166,b,BD-10 3166 b,0,3.48777,0.04,0.02,187.5197,14.1,10.08,8.124,K0 V,5393.0,4.69,-0.191,1.47,0.91,0.38,1.0
BD-08 2823,b,BD-08 2823 b,0,5.6,0.06,0.15,12.7132,3.61,9.88,7.3229999999999995,K3 V,4816.0,4.43,-0.626,0.5,0.71,-0.06,4.5
BD-08 2823,c,BD-08 2823 c,0,237.6,0.68,0.19,104.0,12.5,9.88,7.3229999999999995,K3 V,4816.0,4.43,-0.626,0.5,0.71,-0.06,4.5
BD-06 1339,b,BD-06 1339 b,0,3.8728,0.0428,0.0,8.5,2.85,9.7,6.305,K7/M0 V,4324.0,4.74,-1.022,0.7,0.67,-0.14,4.4
BD-06 1339,c,BD-06 1339 c,0,125.94,0.435,0.31,53.0,8.38,9.7,6.305,K7/M0 V,4324.0,4.74,-1.022,0.7,0.67,-0.14,4.4
BD+14 4559,b,BD+14 4559 b,0,268.94,0.78,0.29,330.5432,13.8,9.63,7.336,K2 V,4864.0,4.26,-0.424,0.49,0.86,0.17,
BD+15 2940,b,BD+15 2940 b,0,137.48,0.539,0.26,352.78,13.7,9.046,6.525,K0,4796.0,2.8,2.01,1.1,14.7,0.28,7.1
BD+20 274,b,BD+20 274 b,0,578.2,1.3,0.21,1334.886,13.0,9.36,6.169,K5 III,4296.0,1.99,1.96,0.8,17.3,-0.46,
BD+20 2457,b,BD+20 2457 b,0,379.63,1.05,0.15,17668.1697,11.6,9.75,6.42,K2 II,4259.0,1.77,2.7680000000000002,10.83,71.02,-0.79,
BD+20 2457,c,BD+20 2457 c,0,621.99,2.01,0.18,3963.17,12.4,9.75,6.42,K2 II,4259.0,1.77,2.7680000000000002,10.83,71.02,-0.79,
HD 164595,b,HD 164595 b,0,40.0,0.23,0.088,16.14,4.16,7.1,5.482,G2 V,5790.0,4.44,0.017,0.99,1.02,-0.04,7.12
HAT-P-57,b,HAT-P-57 b,0,2.4653,0.0406,0.0,448.1403,19.504,10.465,9.433,A8 V,6330.0,4.25,0.593,2.77,1.85,-0.25,1.0
HAT-P-50,b,HAT-P-50 b,0,3.1220109,0.0453,0.115,429.0705,14.437000000000001,11.762,10.5,F5,6280.0,4.07,0.603,1.27,1.7,-0.18,3.37
HAT-P-51,b,HAT-P-51 b,0,4.2180278,0.05069,0.123,98.20947,14.493,13.44,11.614,G7,5449.0,4.39,-0.066,0.98,1.04,0.27,8.2
HAT-P-52,b,HAT-P-52 b,0,2.7535953,0.03694,0.047,259.98494,11.31,14.068,11.620999999999999,K1,5131.0,4.48,-0.305,0.89,0.89,0.28,9.4
HAT-P-53,b,HAT-P-53 b,0,1.9616241,0.03159,0.134,471.65972,14.773,13.73,12.1,,5956.0,4.31,0.217,1.09,1.21,0.0,4.67
HD 1461,c,HD 1461 c,0,13.5052,0.1117,0.305,5.59,2.23,6.47,4.897,G0 V,5765.0,4.38,0.09699999999999999,1.02,1.24,0.19,7.12
HD 204313,c,HD 204313 c,0,34.905,0.2099,0.155,17.6,4.38,7.99,6.459,G5 V,5783.0,4.37,0.1,1.03,1.1,0.16,3.38
KIC 3558849,b,KIC 3558849 b,0,1322.3,,,38.1,6.9,14.167,12.767000000000001,,6175.0,4.44,0.405,0.98,1.01,-0.42,
KIC 5951458,b,KIC 5951458 b,0,1320.1,,,35.4,6.6,12.687999999999999,11.324000000000002,,6258.0,4.08,0.556,0.98,1.52,-0.5,
KOI-7892,b,KIC 8540376 b,0,31.8099,,,15.8,4.1,14.217,12.966,,6474.0,4.31,0.265,1.04,1.26,-0.16,
KOI-7892,c,KIC 8540376 c,0,75.2,,,6.35,2.4,14.217,12.966,,6474.0,4.31,0.265,1.04,1.26,-0.16,
KIC 9663113,b,KIC 9663113 b,0,572.3847,,,19.2,4.6,13.907,12.502,,6065.0,4.42,0.755,0.98,1.03,-0.28,
KIC 10525077,b,KIC 10525077 b,0,854.083,,,25.9,5.5,15.304,13.754000000000001,,6091.0,4.42,0.129,1.01,1.01,-0.04,
KIC 5437945,b,KIC 5437945 b,0,440.7813,,,33.6,6.4,13.751,12.367,,6340.0,4.16,0.612,1.07,1.24,-0.38,3.16
K2-25,b,K2-25 b,0,3.484552,,0.27,11.6,3.43,15.880999999999998,10.444,M4.5,3180.0,,-2.076,0.29,0.29,0.15,
HD 32963,b,HD 32963 b,0,2372.0,3.41,0.07,222.481,14.0,7.6,6.024,G5,5727.0,4.41,0.064,0.94,1.09,0.11,4.99
TYC 3667-1280-1,b,TYC 3667-1280-1 b,0,26.468,0.21,0.036,1716.282,12.8,9.86,7.1,,5130.0,3.11,1.38,1.87,6.26,-0.08,1.35
Kepler-818,b,Kepler-818 b,0,10.03538581,,,22.9,5.11,15.057,13.448,,5638.0,4.49,-0.179,0.94,0.92,-0.08,3.98
Kepler-819,b,Kepler-819 b,0,33.1995648,,,8.05,2.76,15.065999999999999,13.163,,5279.0,4.55,-0.45,0.86,0.81,-0.06,4.47
Kepler-820,b,Kepler-820 b,0,127.8338098,,,30.8,6.09,13.944,12.53,,6260.0,4.25,0.619,1.23,1.36,0.09,2.63
Kepler-821,b,Kepler-821 b,0,1.92279873,,,2.27,1.31,14.818,12.869000000000002,,5191.0,4.56,-0.41700000000000004,0.84,0.8,-0.03,4.79
Kepler-822,b,Kepler-822 b,0,3.22296927,,,3.78,1.77,14.597000000000001,13.052999999999999,,5928.0,4.4,-0.059000000000000004,1.06,1.08,0.04,3.55
Kepler-823,b,Kepler-823 b,0,4.16809082,,,3.09,1.57,14.762,13.187000000000001,,5643.0,4.47,0.305,0.98,0.96,0.06,4.47
Kepler-824,b,Kepler-824 b,0,4.51436633,,,4.16,1.87,14.883,13.447000000000001,,6035.0,4.32,0.10800000000000001,1.15,1.22,0.14,3.31
Kepler-825,b,Kepler-825 b,0,3.77360059,,,2.96,1.53,14.145,12.67,,5976.0,4.39,0.047,1.03,1.08,-0.08,3.55
Kepler-825,c,Kepler-825 c,0,8.1818246,,,4.04,1.84,14.145,12.67,,5976.0,4.39,0.047,1.03,1.08,-0.08,3.55
Kepler-826,b,Kepler-826 b,0,4.48758907,,,2.1,1.25,13.412,12.001,,6079.0,4.34,0.31,1.05,1.15,-0.12,4.37
Kepler-827,b,Kepler-827 b,0,51.92927591,,,27.0,5.63,15.862,14.209000000000001,,5602.0,4.5,0.22699999999999998,0.93,0.91,-0.06,4.37
Kepler-828,b,Kepler-828 b,0,0.56785714,,,2.89,1.51,15.044,12.992,,5039.0,4.58,-0.561,0.81,0.77,-0.02,4.57
Kepler-829,b,Kepler-829 b,0,6.88337562,,,5.1,2.11,14.921,13.29,,5698.0,4.46,0.008,0.98,0.97,0.03,4.68
Kepler-830,b,Kepler-830 b,0,11.29695137,,,3.53,1.7,14.789000000000001,13.269,,6037.0,4.38,0.16899999999999998,1.07,1.11,-0.02,3.47
Kepler-831,b,Kepler-831 b,0,5.62153941,,,2.15,1.27,13.630999999999998,12.159,,5732.0,4.46,-0.015,0.99,0.97,0.02,4.17
Kepler-832,b,Kepler-832 b,0,7.1396941,,,4.9,2.06,15.859000000000002,14.197000000000001,,5596.0,4.5,0.04,0.92,0.9,-0.08,4.37
Kepler-833,b,Kepler-833 b,0,18.7546998,,,4.74,2.02,15.469000000000001,12.885,,4339.0,4.67,-0.804,0.64,0.62,-0.18,3.72
Kepler-834,b,Kepler-834 b,0,13.32388301,,,4.74,2.02,15.927999999999999,13.484000000000002,,4554.0,4.64,-0.774,0.7,0.66,-0.13,2.69
Kepler-835,b,Kepler-835 b,0,11.41909375,,,8.2,2.79,15.89,14.561,,5954.0,4.38,0.35,1.08,1.11,0.08,3.63
Kepler-836,b,Kepler-836 b,0,11.36112327,,,7.9,2.73,14.587,13.15,,5895.0,4.41,0.043,1.03,1.04,-0.01,4.27
Kepler-837,b,Kepler-837 b,0,16.56059504,,,7.08,2.56,15.229000000000001,13.465,,5403.0,4.56,-0.272,0.85,0.81,-0.18,3.98
Kepler-838,b,Kepler-838 b,0,15.74957994,,,7.9,2.73,15.23,13.761,,5770.0,4.46,-0.106,0.98,0.96,-0.06,4.17
Kepler-839,b,Kepler-839 b,0,37.8144514,,,7.13,2.57,13.562999999999999,12.25,,6058.0,4.29,0.419,1.22,1.31,0.29,2.82
Kepler-840,b,Kepler-840 b,0,2.49577962,,,43000.0,17.07,14.129000000000001,12.6,,5920.0,4.41,0.34299999999999997,1.04,1.06,0.0,3.89
Kepler-841,b,Kepler-841 b,0,124.4198398,,,23.8,5.23,15.744000000000002,13.927999999999999,,5324.0,4.56,-0.368,0.85,0.81,-0.09,4.47
Kepler-842,b,Kepler-842 b,0,1.21956827,,,3.19,1.6,15.13,12.913,,4848.0,4.6,-0.66,0.78,0.73,-0.02,4.37
Kepler-843,b,Kepler-843 b,0,2.05387982,,,7.22,2.59,15.248,13.709000000000001,,5830.0,4.42,-0.053,1.02,1.03,0.05,4.17
Kepler-844,b,Kepler-844 b,0,2.61302086,,,3.46,1.68,15.796,13.058,,4128.0,4.7,-0.955,0.59,0.57,-0.24,3.8
Kepler-845,b,Kepler-845 b,0,0.92785982,,,4.82,2.04,14.639000000000001,12.515,,4913.0,4.59,-0.662,0.79,0.75,0.01,4.79
Kepler-846,b,Kepler-846 b,0,19.80792185,,,6.71,2.48,15.604000000000001,13.978,,5579.0,4.5,-0.222,0.94,0.91,0.0,4.37
Kepler-847,b,Kepler-847 b,0,2.3432319,,,1.76,1.18,14.78,12.708,,4940.0,4.58,-0.542,0.83,0.77,0.15,3.89
Kepler-848,b,Kepler-848 b,0,6.91134416,,,3.53,1.7,14.011,12.431,,5695.0,4.28,0.595,1.01,1.2,0.15,8.32
Kepler-849,b,Kepler-849 b,0,394.6244904,,,40.4,7.14,12.835999999999999,11.527000000000001,,6059.0,4.1,0.585,1.23,1.64,0.12,3.98
Kepler-850,b,Kepler-850 b,0,7.19303878,,,3.82,1.78,15.427,13.987,,5932.0,4.39,0.185,1.06,1.09,0.03,3.89
Kepler-851,b,Kepler-851 b,0,8.50699658,,,3.46,1.68,15.107999999999999,13.392000000000001,,5455.0,4.53,-0.28300000000000003,0.89,0.85,-0.07,4.47
Kepler-852,b,Kepler-852 b,0,44.9309804,,,6.99,2.54,13.907,12.587,,6100.0,4.38,0.768,1.19,1.16,0.22,1.48
Kepler-853,b,Kepler-853 b,0,7.16892463,,,3.5,1.69,12.248,11.151,,6350.0,4.17,0.488,1.3,1.55,0.07,2.69
Kepler-854,b,Kepler-854 b,0,2.14463285,,,42000.0,16.72,13.504000000000001,12.046,,6179.0,4.29,0.797,1.17,1.27,0.04,3.02
Kepler-855,b,Kepler-855 b,0,7.8866311,,,52.7,8.35,15.019,13.338,,5835.0,4.42,0.281,1.03,1.03,0.06,4.17
Kepler-856,b,Kepler-856 b,0,8.02768059,,,63.3,9.3,15.557,13.905,,5535.0,4.49,-0.02,0.96,0.93,0.12,4.27
Kepler-857,b,Kepler-857 b,0,85.35129427,,,37.2,6.8,15.064,13.402999999999999,,5773.0,4.45,-0.127,0.99,0.99,0.02,4.27
Kepler-858,b,Kepler-858 b,0,76.13602028,,,21.1,4.87,12.411,10.862,,5653.0,4.5,-0.126,0.96,0.91,-0.04,3.39
Kepler-859,b,Kepler-859 b,0,20.38177573,,,9.75,3.09,15.88,13.857999999999999,,5020.0,4.59,-0.56,0.81,0.77,-0.02,4.57
Kepler-860,b,Kepler-860 b,0,5.10137945,,,10.6,3.24,15.402999999999999,13.75,,5836.0,4.4,-0.2,1.04,1.06,0.09,4.27
Kepler-861,b,Kepler-861 b,0,3.94963138,,,5.82,2.28,15.595999999999998,13.532,,5047.0,4.58,-0.43700000000000006,0.82,0.78,0.01,4.47
